OrderID,OrderDate,CustomerID,EmployeeID,ShipperID,ProductID,Sales,COS,GP,Quantity,Discount,Freight,StatusID,Status,CategoryID,ProductName,SupplierID,CategoryName,Description,Link,Address,City,ContactName,Country,CustomerName,Fax,Phone,PostalCode,CountryCode,ISO3CountryCode,CustomerID.y,Base currency
10248,2014-10-01T00:00:00Z,39,9,2,30,188.4,156,32.4,8,0,56.09,1,Delivered,8,Baby Dark Lounge Suit,13,Babywear,0-3 Years,no link,Maubelstr. 90,Brandenburg,Dieter Rummernige,Germany,Noch Einmal GMBH,NULL,0555-09876,14776,DE,DEU,Noch Einmal GMBH888,Euro
10248,2014-10-01T00:00:00Z,39,9,2,43,173.85000000000002,143.95,29.9,15,0,56.09,1,Delivered,4,Summer Shorts,20,Bath Clothes,Beachwear,www.google.com,Maubelstr. 90,Brandenburg,Dieter Rummernige,Germany,Noch Einmal GMBH,NULL,0555-09876,14776,DE,DEU,Noch Einmal GMBH888,Euro
10248,2014-10-01T00:00:00Z,89,6,2,2,807.76,581.59,226.17,40,105.36,61.04,1,Delivered,1,Mr X Trousers,1,Men´s Clothes,Fashion for Men,www.google.com,Suite 3B,Seattle,Alice Chain,United States,Nirvana Stores,(206) 555-4115,(206) 555-4112,98128,US,USA,Nirvana Stores,US dollar
10249,2013-10-01T00:00:00Z,89,6,2,21,367.6,324.22,43.379999999999995,40,0,44.720000000000006,4,Shipped,3,Basket Shoes,8,Sportwear,Sports…,www.google.com,Suite 3B,Seattle,Alice Chain,United States,Nirvana Stores,(206) 555-4115,(206) 555-4112,98128,US,USA,Nirvana Stores,US dollar
10249,2013-10-01T00:00:00Z,89,6,2,33,920.8499999999999,812.19,108.66,35,0,44.720000000000006,1,Delivered,3,Car Boots,15,Sportwear,Sports…,www.google.com,Suite 3B,Seattle,Alice Chain,United States,Nirvana Stores,(206) 555-4115,(206) 555-4112,98128,US,USA,Nirvana Stores,US dollar
10250,2014-10-05T00:00:00Z,1,8,2,42,743,615.2,127.8,50,0,40.58,1,Delivered,5,Balett Shoes,20,Ladies´Footwear,Ladies Shoes,www.google.com,Obere Str. 57,Berlin,Albert von Einstein,Germany,Eintrach GS,030-0076545,030-0074321,12209,DE,DEU,Eintrach GS88,Euro
10250,2014-10-05T00:00:00Z,44,5,2,4,429.89,296.62,133.26999999999998,16,71.64999999999999,28.66,1,Delivered,2,Oyaki Kimono,2,Womens wear,Fashion for Women,www.google.com,Magazinweg 7,Frankfurt a.M.,Klaus Deum,Germany,Warp AG,069-0245874,069-0245984,60528,DE,DEU,Warp AG55,Euro
10250,2014-10-05T00:00:00Z,44,5,2,43,33.54,27.77,5.7700000000000005,3,0,28.66,1,Delivered,4,Summer Shorts,20,Bath Clothes,Beachwear,www.google.com,Magazinweg 7,Frankfurt a.M.,Klaus Deum,Germany,Warp AG,069-0245874,069-0245984,60528,DE,DEU,Warp AG55,Euro
10251,2014-03-04T00:00:00Z,32,1,3,17,816.41,529.04,287.38,27,163.28,45.54,2,In Transit,6,TieBreak Tennis shoes,7,Men´s Footwear,Men Shoes,www.google.com,2732 Baker Blvd.,Eugene,Ross The Boss,United States,The Corner Store,NULL,(503) 555-7555,97403,US,USA,The Corner Store33,US dollar
10251,2014-03-04T00:00:00Z,32,1,3,47,1746.8799999999999,1131.97,614.9,50,349.38,45.54,3,Cancelled,6,Lundenhagen Boots,22,Men´s Footwear,Men Shoes,www.google.com,2732 Baker Blvd.,Eugene,Ross The Boss,United States,The Corner Store,NULL,(503) 555-7555,97403,US,USA,The Corner Store33,US dollar
10251,2014-03-04T00:00:00Z,32,1,3,56,775.8,502.71999999999997,273.08,18,155.16,45.54,3,Cancelled,5,High Heels Shoes,26,Ladies´Footwear,Ladies Shoes,www.google.com,2732 Baker Blvd.,Eugene,Ross The Boss,United States,The Corner Store,NULL,(503) 555-7555,97403,US,USA,The Corner Store33,US dollar
10252,2014-07-06T00:00:00Z,44,5,2,20,2096.3900000000003,1415.06,681.3299999999999,21,349.4,44.620000000000005,1,Delivered,3,Tennis Suit,8,Sportwear,Sports…,www.google.com,Magazinweg 7,Frankfurt a.M.,Klaus Deum,Germany,Warp AG,069-0245874,069-0245984,60528,DE,DEU,Warp AG55,Euro
10252,2014-07-06T00:00:00Z,44,5,2,69,47.04,31.75,15.29,20,7.84,44.620000000000005,4,Shipped,3,Racing Truck  Socks,15,Sportwear,Sports…,www.google.com,Magazinweg 7,Frankfurt a.M.,Klaus Deum,Germany,Warp AG,069-0245874,069-0245984,60528,DE,DEU,Warp AG55,Euro
10252,2014-07-06T00:00:00Z,44,5,2,76,2012.96,1482.54,528.42,4,335.16,44.620000000000005,1,Delivered,2,Minnki Pälsii,23,Womens wear,Fashion for Women,www.google.com,Magazinweg 7,Frankfurt a.M.,Klaus Deum,Germany,Warp AG,069-0245874,069-0245984,60528,DE,DEU,Warp AG55,Euro
10253,2014-10-07T00:00:00Z,19,2,2,75,39.6,26.23,13.370000000000001,4,7.92,69.81,1,Delivered,1,Bow tie,12,Men´s Clothes,Fashion for Men,www.google.com,35 King George,London,Greg Thatcher,United Kingdom,Th Fashing,(171) 555-3373,(171) 555-0297,NULL,GB,GBR,Th Fashing111,Pound sterling
10253,2014-10-07T00:00:00Z,46,9,2,21,493,326.56,166.44,40,98.6,29.04,1,Delivered,3,Basket Shoes,8,Sportwear,Sports…,www.google.com,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Tony Montana,Venezuela,Los Vatos Locos,(9) 331-7256,(9) 331-6954,3508,VE,VEN,Los Vatos Locos111,Venezuelan bolívar
10253,2014-10-07T00:00:00Z,46,9,2,30,955.15,632.69,322.4599999999999,28,191.03,29.04,1,Delivered,8,Baby Dark Lounge Suit,13,Babywear,0-3 Years,no link,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Tony Montana,Venezuela,Los Vatos Locos,(9) 331-7256,(9) 331-6954,3508,VE,VEN,Los Vatos Locos111,Venezuelan bolívar
10254,2013-04-08T00:00:00Z,63,8,2,2,1084.8,797.3299999999999,287.47,50,180.8,63.32,1,Delivered,1,Mr X Trousers,1,Men´s Clothes,Fashion for Men,www.google.com,Taucherstraße 10,Cunewalde,George Essen,Germany,Grunewald,NULL,0372-035188,1307,DE,DEU,Grunewald888,Euro
10254,2013-04-08T00:00:00Z,63,8,2,70,716.16,526.38,189.78,20,119.36,63.32,1,Delivered,1,US-Master Jeans,7,Men´s Clothes,Fashion for Men,www.google.com,Taucherstraße 10,Cunewalde,George Essen,Germany,Grunewald,NULL,0372-035188,1307,DE,DEU,Grunewald888,Euro
10254,2013-04-08T00:00:00Z,63,8,2,76,43755.119999999995,32160.01,11595.11,90,7292.52,63.32,1,Delivered,2,Minnki Pälsii,23,Womens wear,Fashion for Women,www.google.com,Taucherstraße 10,Cunewalde,George Essen,Germany,Grunewald,NULL,0372-035188,1307,DE,DEU,Grunewald888,Euro
10255,2014-09-09T00:00:00Z,35,9,2,59,518.4,433.47999999999996,84.92,60,0,56.230000000000004,1,Delivered,3,Rasta WCT,28,Sportwear,Sports…,www.google.com,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Nicolas Balines,Venezuela,El Zapato Rojo,(5) 555-1948,(5) 555-1340,5022,VE,VEN,El Zapato Rojo11,Venezuelan bolívar
10255,2014-09-09T00:00:00Z,35,9,2,68,398.7,341.68,57.02,30,0,56.230000000000004,1,Delivered,3,Cap,8,Sportwear,Sports…,www.google.com,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Nicolas Balines,Venezuela,El Zapato Rojo,(5) 555-1948,(5) 555-1340,5022,VE,VEN,El Zapato Rojo11,Venezuelan bolívar
10255,2014-09-09T00:00:00Z,35,9,2,75,270,223.56,46.44,36,0,56.230000000000004,1,Delivered,1,Bow tie,12,Men´s Clothes,Fashion for Men,www.google.com,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Nicolas Balines,Venezuela,El Zapato Rojo,(5) 555-1948,(5) 555-1340,5022,VE,VEN,El Zapato Rojo11,Venezuelan bolívar
10255,2014-09-09T00:00:00Z,28,4,1,44,1420.37,1022.66,397.7,15,185.26,49.27,1,Delivered,2,Okkaba Skin Jackets,20,Womens wear,Fashion for Women,www.google.com,Jardim das rosas n. 32,Lisboa,Vitor Baiha,Portugal,El Traige do Benfica,(1) 354-2535,(1) 354-2534,1675,PT,PRT,El Traige do Benfica222,Euro
10256,2013-10-11T00:00:00Z,32,1,3,16,459,444.45,14.55,50,0,48.14,1,Delivered,3,Wimbledon T-Shirt,7,Sportwear,Sports…,www.google.com,2732 Baker Blvd.,Eugene,Ross The Boss,United States,The Corner Store,NULL,(503) 555-7555,97403,US,USA,The Corner Store33,US dollar
10256,2013-10-11T00:00:00Z,32,1,3,31,119.28,105.21000000000001,14.07,14,0,48.14,1,Delivered,4,Rossi Bermuda Shorts,14,Bath Clothes,Beachwear,www.google.com,2732 Baker Blvd.,Eugene,Ross The Boss,United States,The Corner Store,NULL,(503) 555-7555,97403,US,USA,The Corner Store33,US dollar
10257,2013-10-12T00:00:00Z,1,8,2,17,139.44,122.99000000000001,16.45,6,0,68,1,Delivered,6,TieBreak Tennis shoes,7,Men´s Footwear,Men Shoes,www.google.com,Obere Str. 57,Berlin,Albert von Einstein,Germany,Eintrach GS,030-0076545,030-0074321,12209,DE,DEU,Eintrach GS88,Euro
10257,2013-10-12T00:00:00Z,1,8,2,62,1572,1386.5,185.5,50,0,68,1,Delivered,3,Sheat Shoes,29,Sportwear,Sports…,www.google.com,Obere Str. 57,Berlin,Albert von Einstein,Germany,Eintrach GS,030-0076545,030-0074321,12209,DE,DEU,Eintrach GS88,Euro
10257,2013-10-12T00:00:00Z,6,8,2,18,255.2,225.09,30.110000000000003,10,0,48.8,1,Delivered,8,Deuce shirt,7,Babywear,0-3 Years,no link,Forsterstr. 57,Mannheim,Herman Hinschler,Germany,Man Kleider,0621-08924,0621-08460,68306,DE,DEU,MK123,Euro
10258,2014-10-14T00:00:00Z,63,5,2,77,756.8599999999999,569.71,187.15,55,68.81,51.42,1,Delivered,2,Skirt,12,Womens wear,Fashion for Women,www.google.com,Taucherstraße 10,Cunewalde,George Essen,Germany,Grunewald,NULL,0372-035188,1307,DE,DEU,Grunewald888,Euro
10258,2014-10-14T00:00:00Z,71,9,2,28,736.3499999999999,609.7,126.64999999999999,15,0,33.5,1,Delivered,7,RDL Suit,12,Children´s wear,3-15 Years,www.google.com,187 Suffolk Ln.,Boise,Perry Farell,United States,Sunny Ski Store,NULL,(208) 555-8097,83720,US,USA,Sunny Ski Store11,US dollar
10258,2014-10-14T00:00:00Z,71,9,2,44,8495.549999999997,6699.35,1796.2,100,404.55,33.5,4,Shipped,2,Okkaba Skin Jackets,20,Womens wear,Fashion for Women,www.google.com,187 Suffolk Ln.,Boise,Perry Farell,United States,Sunny Ski Store,NULL,(208) 555-8097,83720,US,USA,Sunny Ski Store11,US dollar
10259,2015-10-15T00:00:00Z,73,9,2,24,51.91,46.05,5.859999999999999,12,2.4699999999999998,29.810000000000002,1,Delivered,1,Samba Socker  Socks,10,Men´s Clothes,Fashion for Men,www.google.com,Vinbæltet 34,København,Preben Elkjaer,Denmark,Vite,NULL,NULL,1734,DK,DNK,Vite555,Danish krone
10259,2015-10-15T00:00:00Z,73,9,2,59,56.2,46.24,9.950000000000001,6,2.68,29.810000000000002,1,Delivered,3,Rasta WCT,28,Sportwear,Sports…,www.google.com,Vinbæltet 34,København,Preben Elkjaer,Denmark,Vite,NULL,NULL,1734,DK,DNK,Vite555,Danish krone
10260,2014-03-15T00:00:00Z,47,6,2,58,1641.75,1063.85,577.9,30,328.35,32.339999999999996,1,Delivered,8,Ga-Ga Dress,27,Babywear,0-3 Years,no link,Ave. 5 de Mayo Porlamar,I. de Margarita,Andrés Barbanegra,Venezuela,El Pirata,(8) 34-93-93,(8) 34-56-12,4980,VE,VEN,El Pirata123,Venezuelan bolívar
10260,2014-03-15T00:00:00Z,47,6,2,70,1040.6299999999999,674.3299999999999,366.3,30,208.13,32.339999999999996,1,Delivered,1,US-Master Jeans,7,Men´s Clothes,Fashion for Men,www.google.com,Ave. 5 de Mayo Porlamar,I. de Margarita,Andrés Barbanegra,Venezuela,El Pirata,(8) 34-93-93,(8) 34-56-12,4980,VE,VEN,El Pirata123,Venezuelan bolívar
10260,2014-03-15T00:00:00Z,80,1,3,11,392.55,348.32,44.230000000000004,15,0,68.35,1,Delivered,1,Desperado Jeans,5,Men´s Clothes,Fashion for Men,www.google.com,Avda. Azteca 123,México D.F.,Peloto Gomez,Mexico,Don Balón,NULL,(5) 555-2933,5033,MX,MEX,Don Balón123,Mexican peso
10260,2014-03-15T00:00:00Z,80,1,3,17,201.35000000000002,155.33,46.02,8,9.59,68.35,1,Delivered,6,TieBreak Tennis shoes,7,Men´s Footwear,Men Shoes,www.google.com,Avda. Azteca 123,México D.F.,Peloto Gomez,Mexico,Don Balón,NULL,(5) 555-2933,5033,MX,MEX,Don Balón123,Mexican peso
10261,2014-10-16T00:00:00Z,63,5,2,64,1383.6899999999998,1041.54,342.15000000000003,35,125.79,51.42,1,Delivered,5,WFS shoes,12,Ladies´Footwear,Ladies Shoes,www.google.com,Taucherstraße 10,Cunewalde,George Essen,Germany,Grunewald,NULL,0372-035188,1307,DE,DEU,Grunewald888,Euro
10261,2014-10-16T00:00:00Z,63,5,2,65,328.33,247.14,81.19,28,29.85,51.42,2,In Transit,2,Stretch oui-pants,2,Womens wear,Fashion for Women,www.google.com,Taucherstraße 10,Cunewalde,George Essen,Germany,Grunewald,NULL,0372-035188,1307,DE,DEU,Grunewald888,Euro
10262,2015-08-19T00:00:00Z,30,5,1,65,355.74,279.41999999999996,76.32,30,32.339999999999996,63.01,1,Delivered,2,Stretch oui-pants,2,Womens wear,Fashion for Women,www.google.com,"Finca La Campana, 33",Sevilla,El Cordobes,Spain,Los Trajes de Matador,NULL,(95) 555 82 82,41101,ES,ESP,Los Trajes de Matador5555,Euro
10262,2015-08-19T00:00:00Z,30,5,1,68,210.70999999999998,165.5,45.21,15,19.16,63.01,1,Delivered,3,Cap,8,Sportwear,Sports…,www.google.com,"Finca La Campana, 33",Sevilla,El Cordobes,Spain,Los Trajes de Matador,NULL,(95) 555 82 82,41101,ES,ESP,Los Trajes de Matador5555,Euro
10262,2015-08-19T00:00:00Z,80,1,3,49,593.7,512.9599999999999,80.74,30,0,69.84,1,Delivered,3,Finnish Sport Blades,23,Sportwear,Sports…,www.google.com,Avda. Azteca 123,México D.F.,Peloto Gomez,Mexico,Don Balón,NULL,(5) 555-2933,5033,MX,MEX,Don Balón123,Mexican peso
10263,2014-10-20T00:00:00Z,5,9,2,54,529.8,445.45,84.35,15,0,31.84,1,Delivered,3,Patamonia Fleece Jacket,25,Sportwear,Sports…,www.google.com,Berguvsvägen  8,Luleå,Urra Gurra Aktersnurra,Sweden,Urras Shop,0921-12 34 67,0921-12 34 65,NULL,SE,SWE,Urras Shop1222,Swedish krona
10263,2014-10-20T00:00:00Z,82,1,3,19,122.23,92.01,30.22,12,11.11,40.449999999999996,1,Delivered,3,Squash Shorts,8,Sportwear,Sports…,www.google.com,722 DaVinci Blvd.,Kirkland,Mark Stark,United States,Bond Ltd,(206) 555-2174,(206) 555-8257,98034,US,USA,Bond Ltd555,US dollar
10263,2014-10-20T00:00:00Z,82,1,3,24,92.61999999999999,69.72,22.9,20,8.42,40.449999999999996,1,Delivered,1,Samba Socker  Socks,10,Men´s Clothes,Fashion for Men,www.google.com,722 DaVinci Blvd.,Kirkland,Mark Stark,United States,Bond Ltd,(206) 555-2174,(206) 555-8257,98034,US,USA,Bond Ltd555,US dollar
10263,2014-10-20T00:00:00Z,82,1,3,31,27.29,20.54,6.75,3,2.48,40.449999999999996,1,Delivered,4,Rossi Bermuda Shorts,14,Bath Clothes,Beachwear,www.google.com,722 DaVinci Blvd.,Kirkland,Mark Stark,United States,Bond Ltd,(206) 555-2174,(206) 555-8257,98034,US,USA,Bond Ltd555,US dollar
10264,2013-10-20T00:00:00Z,76,4,1,70,922.5,842.11,80.39,30,0,57.51,1,Delivered,1,US-Master Jeans,7,Men´s Clothes,Fashion for Men,www.google.com,"Boulevard Tirou, 255",Charleroi,Cheril Cow,Belgium,Belgium Black Jeans,(071) 23 67 22 21,(071) 23 67 22 20,NULL,BE,BEL,Black2222,Euro
10264,2013-10-20T00:00:00Z,76,4,1,74,621.8,548.4299999999998,73.36999999999999,20,0,57.51,1,Delivered,7,Nikee Running Shoes,4,Children´s wear,3-15 Years,www.google.com,"Boulevard Tirou, 255",Charleroi,Cheril Cow,Belgium,Belgium Black Jeans,(071) 23 67 22 21,(071) 23 67 22 20,NULL,BE,BEL,Black2222,Euro
10265,2013-10-21T00:00:00Z,63,5,2,23,721.49,615.18,106.31,70,65.59,47.94,3,Cancelled,5,DSW,9,Ladies´Footwear,Ladies Shoes,www.google.com,Taucherstraße 10,Cunewalde,George Essen,Germany,Grunewald,NULL,0372-035188,1307,DE,DEU,Grunewald888,Euro
10265,2013-10-21T00:00:00Z,63,5,2,35,178.47,143.1,35.370000000000005,25,16.23,47.94,1,Delivered,4,LA. Shorts,16,Bath Clothes,Beachwear,www.google.com,Taucherstraße 10,Cunewalde,George Essen,Germany,Grunewald,NULL,0372-035188,1307,DE,DEU,Grunewald888,Euro
10266,2014-10-23T00:00:00Z,5,9,2,35,45.6,37.760000000000005,7.84,8,0,62.54,1,Delivered,4,LA. Shorts,16,Bath Clothes,Beachwear,www.google.com,Berguvsvägen  8,Luleå,Urra Gurra Aktersnurra,Sweden,Urras Shop,0921-12 34 67,0921-12 34 65,NULL,SE,SWE,Urras Shop1222,Swedish krona
10267,2014-04-25T00:00:00Z,62,2,2,70,1098.72,847.58,251.14,40,52.32,65.19,1,Delivered,1,US-Master Jeans,7,Men´s Clothes,Fashion for Men,www.google.com,"Alameda dos Canàrios, 891",São Paulo,Jorge Alemaio,Brazil,Roba di Piel,NULL,(11) 555-1189,NULL,BR,BRA,Roba di Piel333,Brazilian real
10267,2014-04-25T00:00:00Z,19,9,2,20,1817.55,1472.22,345.33,21,0,29.650000000000002,1,Delivered,3,Tennis Suit,8,Sportwear,Sports…,www.google.com,35 King George,London,Greg Thatcher,United Kingdom,Th Fashing,(171) 555-3373,(171) 555-0297,NULL,GB,GBR,Th Fashing111,Pound sterling
